ts,time,asset_id,server_id,rack_id,room_id,asset_temp_inlet_c,rack_inlet_c,room_temp_c,server_temp_c
t_066,2025-01-01T05:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.78,68.78,68.78,68.78
t_067,2025-01-01T05:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.29,68.29,68.29,68.29
t_068,2025-01-01T05:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.85,67.85,67.85,67.85
t_069,2025-01-01T05:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.64,67.64,67.64,67.64
t_070,2025-01-01T05:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.52,67.52,67.52,67.52
t_071,2025-01-01T05:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.59,67.59,67.59,67.59
t_072,2025-01-01T05:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.9,67.9,67.9,67.9
t_073,2025-01-01T06:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.8,67.8,67.8,67.8
t_074,2025-01-01T06:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.47,67.47,67.47,67.47
t_075,2025-01-01T06:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.76,67.76,67.76,67.76
t_076,2025-01-01T06:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.92,67.92,67.92,67.92
t_077,2025-01-01T06:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.37,68.37,68.37,68.37
t_078,2025-01-01T06:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.8,67.8,67.8,67.8
t_079,2025-01-01T06:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.89,67.89,67.89,67.89
t_080,2025-01-01T06:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.41,68.41,68.41,68.41
t_081,2025-01-01T06:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.68,68.68,68.68,68.68
t_082,2025-01-01T06:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.38,68.38,68.38,68.38
t_083,2025-01-01T06:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.66,68.66,68.66,68.66
t_084,2025-01-01T06:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.35,68.35,68.35,68.35
t_085,2025-01-01T07:00:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.21,68.21,68.21,68.21
t_086,2025-01-01T07:05:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.65,68.65,68.65,68.65
t_087,2025-01-01T07:10:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.55,68.55,68.55,68.55
t_088,2025-01-01T07:15:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.85,68.85,68.85,68.85
t_089,2025-01-01T07:20:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.73,68.73,68.73,68.73
t_090,2025-01-01T07:25:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,68.17,68.17,68.17,68.17
t_091,2025-01-01T07:30:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.9,67.9,67.9,67.9
t_092,2025-01-01T07:35:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.57,67.57,67.57,67.57
t_093,2025-01-01T07:40:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.48,67.48,67.48,67.48
t_094,2025-01-01T07:45:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.44,67.44,67.44,67.44
t_095,2025-01-01T07:50:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.47,67.47,67.47,67.47
t_096,2025-01-01T07:55:00Z,GPU-R01-S01-G01,R01-S01,R01,Room-1,67.46,67.46,67.46,67.46
t_001,2025-01-01T00:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.23,67.23,67.23,67.23
t_002,2025-01-01T00:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.7,66.7,66.7,66.7
t_003,2025-01-01T00:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.54,66.54,66.54,66.54
t_004,2025-01-01T00:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.67,66.67,66.67,66.67
t_005,2025-01-01T00:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.23,67.23,67.23,67.23
t_006,2025-01-01T00:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.21,67.21,67.21,67.21
t_007,2025-01-01T00:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.6,67.6,67.6,67.6
t_008,2025-01-01T00:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.95,66.95,66.95,66.95
t_009,2025-01-01T00:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.43,67.43,67.43,67.43
t_010,2025-01-01T00:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.13,67.13,67.13,67.13
t_011,2025-01-01T00:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.99,66.99,66.99,66.99
t_012,2025-01-01T00:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.57,66.57,66.57,66.57
t_013,2025-01-01T01:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.62,66.62,66.62,66.62
t_014,2025-01-01T01:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.24,67.24,67.24,67.24
t_015,2025-01-01T01:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.04,68.04,68.04,68.04
t_016,2025-01-01T01:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.56,67.56,67.56,67.56
t_017,2025-01-01T01:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.66,67.66,67.66,67.66
t_018,2025-01-01T01:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.07,68.07,68.07,68.07
t_019,2025-01-01T01:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.9,67.9,67.9,67.9
t_020,2025-01-01T01:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.73,67.73,67.73,67.73
t_021,2025-01-01T01:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.54,67.54,67.54,67.54
t_022,2025-01-01T01:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.68,67.68,67.68,67.68
t_023,2025-01-01T01:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.09,68.09,68.09,68.09
t_024,2025-01-01T01:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.23,68.23,68.23,68.23
t_025,2025-01-01T02:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.22,68.22,68.22,68.22
t_026,2025-01-01T02:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68,68,68,68
t_027,2025-01-01T02:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.07,68.07,68.07,68.07
t_028,2025-01-01T02:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.78,67.78,67.78,67.78
t_029,2025-01-01T02:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.59,67.59,67.59,67.59
t_030,2025-01-01T02:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.91,67.91,67.91,67.91
t_031,2025-01-01T02:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.97,67.97,67.97,67.97
t_032,2025-01-01T02:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.95,67.95,67.95,67.95
t_033,2025-01-01T02:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.77,67.77,67.77,67.77
t_034,2025-01-01T02:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.01,68.01,68.01,68.01
t_035,2025-01-01T02:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.37,68.37,68.37,68.37
t_036,2025-01-01T02:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.94,67.94,67.94,67.94
t_037,2025-01-01T03:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.87,67.87,67.87,67.87
t_038,2025-01-01T03:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.79,67.79,67.79,67.79
t_039,2025-01-01T03:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.5,67.5,67.5,67.5
t_040,2025-01-01T03:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.09,67.09,67.09,67.09
t_041,2025-01-01T03:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.05,67.05,67.05,67.05
t_042,2025-01-01T03:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.25,67.25,67.25,67.25
t_043,2025-01-01T03:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.72,67.72,67.72,67.72
t_044,2025-01-01T03:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.97,66.97,66.97,66.97
t_045,2025-01-01T03:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.69,66.69,66.69,66.69
t_046,2025-01-01T03:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.57,66.57,66.57,66.57
t_047,2025-01-01T03:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.99,65.99,65.99,65.99
t_048,2025-01-01T03:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.77,65.77,65.77,65.77
t_049,2025-01-01T04:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.55,65.55,65.55,65.55
t_050,2025-01-01T04:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.37,65.37,65.37,65.37
t_051,2025-01-01T04:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,64.69,64.69,64.69,64.69
t_052,2025-01-01T04:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,64.89,64.89,64.89,64.89
t_053,2025-01-01T04:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,64.79,64.79,64.79,64.79
t_054,2025-01-01T04:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.45,65.45,65.45,65.45
t_055,2025-01-01T04:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.8,65.8,65.8,65.8
t_056,2025-01-01T04:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.35,65.35,65.35,65.35
t_057,2025-01-01T04:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.47,65.47,65.47,65.47
t_058,2025-01-01T04:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.34,65.34,65.34,65.34
t_059,2025-01-01T04:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.73,65.73,65.73,65.73
t_060,2025-01-01T04:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.81,65.81,65.81,65.81
t_061,2025-01-01T05:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.67,65.67,65.67,65.67
t_062,2025-01-01T05:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.88,65.88,65.88,65.88
t_063,2025-01-01T05:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.99,65.99,65.99,65.99
t_064,2025-01-01T05:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.97,65.97,65.97,65.97
t_065,2025-01-01T05:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.72,66.72,66.72,66.72
t_066,2025-01-01T05:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.52,66.52,66.52,66.52
t_067,2025-01-01T05:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.36,66.36,66.36,66.36
t_068,2025-01-01T05:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.83,65.83,65.83,65.83
t_069,2025-01-01T05:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.87,65.87,65.87,65.87
t_070,2025-01-01T05:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.23,66.23,66.23,66.23
t_071,2025-01-01T05:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.53,65.53,65.53,65.53
t_072,2025-01-01T05:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.51,65.51,65.51,65.51
t_073,2025-01-01T06:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.17,65.17,65.17,65.17
t_074,2025-01-01T06:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,65.78,65.78,65.78,65.78
t_075,2025-01-01T06:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.31,66.31,66.31,66.31
t_076,2025-01-01T06:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.44,66.44,66.44,66.44
t_077,2025-01-01T06:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.95,66.95,66.95,66.95
t_078,2025-01-01T06:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.62,66.62,66.62,66.62
t_079,2025-01-01T06:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.95,66.95,66.95,66.95
t_080,2025-01-01T06:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.72,66.72,66.72,66.72
t_081,2025-01-01T06:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.82,66.82,66.82,66.82
t_082,2025-01-01T06:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.7,66.7,66.7,66.7
t_083,2025-01-01T06:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.59,66.59,66.59,66.59
t_084,2025-01-01T06:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.78,66.78,66.78,66.78
t_085,2025-01-01T07:00:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.31,66.31,66.31,66.31
t_086,2025-01-01T07:05:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.24,66.24,66.24,66.24
t_087,2025-01-01T07:10:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.32,66.32,66.32,66.32
t_088,2025-01-01T07:15:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.2,66.2,66.2,66.2
t_089,2025-01-01T07:20:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.26,66.26,66.26,66.26
t_090,2025-01-01T07:25:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.17,66.17,66.17,66.17
t_091,2025-01-01T07:30:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,66.76,66.76,66.76,66.76
t_092,2025-01-01T07:35:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67,67,67,67
t_093,2025-01-01T07:40:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.01,68.01,68.01,68.01
t_094,2025-01-01T07:45:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.63,67.63,67.63,67.63
t_095,2025-01-01T07:50:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,67.84,67.84,67.84,67.84
t_096,2025-01-01T07:55:00Z,GPU-R01-S01-G02,R01-S01,R01,Room-1,68.48,68.48,68.48,68.48
t_001,2025-01-01T00:00:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,68.37,68.37,68.37,68.37
t_002,2025-01-01T00:05:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.99,67.99,67.99,67.99
t_003,2025-01-01T00:10:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.65,67.65,67.65,67.65
t_004,2025-01-01T00:15:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.68,67.68,67.68,67.68
t_005,2025-01-01T00:20:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,68.18,68.18,68.18,68.18
t_006,2025-01-01T00:25:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,68.45,68.45,68.45,68.45
t_007,2025-01-01T00:30:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.69,67.69,67.69,67.69
t_008,2025-01-01T00:35:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.48,67.48,67.48,67.48
t_009,2025-01-01T00:40:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.54,67.54,67.54,67.54
t_010,2025-01-01T00:45:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.08,67.08,67.08,67.08
t_011,2025-01-01T00:50:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.4,67.4,67.4,67.4
t_012,2025-01-01T00:55:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.6,66.6,66.6,66.6
t_013,2025-01-01T01:00:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.77,66.77,66.77,66.77
t_014,2025-01-01T01:05:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.74,66.74,66.74,66.74
t_015,2025-01-01T01:10:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.67,66.67,66.67,66.67
t_016,2025-01-01T01:15:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.68,66.68,66.68,66.68
t_017,2025-01-01T01:20:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.91,66.91,66.91,66.91
t_018,2025-01-01T01:25:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.14,67.14,67.14,67.14
t_019,2025-01-01T01:30:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.14,67.14,67.14,67.14
t_020,2025-01-01T01:35:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.54,66.54,66.54,66.54
t_021,2025-01-01T01:40:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.16,66.16,66.16,66.16
t_022,2025-01-01T01:45:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,65.79,65.79,65.79,65.79
t_023,2025-01-01T01:50:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.23,66.23,66.23,66.23
t_024,2025-01-01T01:55:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.29,66.29,66.29,66.29
t_025,2025-01-01T02:00:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.52,66.52,66.52,66.52
t_026,2025-01-01T02:05:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.1,66.1,66.1,66.1
t_027,2025-01-01T02:10:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.06,66.06,66.06,66.06
t_028,2025-01-01T02:15:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.42,66.42,66.42,66.42
t_029,2025-01-01T02:20:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.48,66.48,66.48,66.48
t_030,2025-01-01T02:25:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.57,66.57,66.57,66.57
t_031,2025-01-01T02:30:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,66.66,66.66,66.66,66.66
t_032,2025-01-01T02:35:00Z,GPU-R01-S01-G03,R01-S01,R01,Room-1,67.2,67.2,67.2,67.2
